,Unnamed: 0,area_type,balcony,price,bhk
0,0,Super built-up  Area,1.00,39.07,2.00
1,1,Plot  Area,3.00,120.00,4.00
2,2,Built-up  Area,3.00,62.00,3.00
3,3,Super built-up  Area,1.00,95.00,3.00
4,4,Super built-up  Area,1.00,51.00,2.00
5,5,Super built-up  Area,1.00,38.00,2.00
6,6,Super built-up  Area,0.00,204.00,4.00
7,7,Super built-up  Area,0.00,600.00,4.00
8,8,Super built-up  Area,1.00,63.25,3.00
9,9,Plot  Area,0.00,370.00,6.00
10,10,Super built-up  Area,2.00,70.00,3.00
11,11,Plot  Area,3.00,295.00,4.00
12,12,Super built-up  Area,1.00,38.00,2.00
13,13,Built-up  Area,2.00,40.00,2.00
14,14,Plot  Area,2.00,148.00,3.00
15,15,Super built-up  Area,2.00,73.50,2.00
16,16,Super built-up  Area,2.00,48.00,3.00
17,17,Super built-up  Area,3.00,60.00,3.00
18,18,Super built-up  Area,2.00,290.00,3.00
19,19,Super built-up  Area,2.00,48.00,2.00
20,20,Built-up  Area,1.00,15.00,1.00
21,21,Super built-up  Area,1.00,122.00,3.00
22,22,Plot  Area,2.00,380.00,4.00
23,23,Super built-up  Area,1.00,103.00,3.00
24,24,Super built-up  Area,0.00,25.25,1.00
25,25,Super built-up  Area,2.00,56.00,3.00
26,26,Super built-up  Area,1.00,23.10,2.00
27,27,Built-up  Area,2.00,81.00,3.00
28,28,Super built-up  Area,2.00,48.77,2.00
29,29,Super built-up  Area,1.00,47.00,3.00
30,30,Super built-up  Area,0.00,186.00,4.00
31,31,Super built-up  Area,1.00,35.00,3.00
32,32,Super built-up  Area,2.00,123.00,3.00
33,33,Super built-up  Area,3.00,57.39,3.00
34,34,Built-up  Area,0.00,125.00,3.00
35,35,Super built-up  Area,1.00,36.00,2.00
36,36,Super built-up  Area,1.00,45.50,2.00
37,37,Super built-up  Area,2.00,125.00,3.00
38,38,Super built-up  Area,2.00,56.12,3.00
39,39,Built-up  Area,2.00,45.00,2.00
40,40,Built-up  Area,0.00,81.00,2.00
41,41,Super built-up  Area,2.00,38.00,3.00
42,42,Super built-up  Area,0.00,38.00,1.00
43,43,Plot  Area,0.00,48.00,1.00
44,44,Super built-up  Area,2.00,91.79,2.00
45,45,Plot  Area,0.00,200.00,8.00
46,46,Super built-up  Area,0.00,33.00,2.00
47,47,Super built-up  Area,1.00,94.82,2.00
48,48,Plot  Area,1.00,130.00,2.00
49,49,Built-up  Area,1.00,36.00,2.00
50,50,Super built-up  Area,1.00,50.00,2.00
51,51,Super built-up  Area,1.00,99.00,3.00
52,52,Built-up  Area,2.00,91.00,3.00
53,53,Super built-up  Area,2.00,75.00,2.00
54,54,Super built-up  Area,3.00,75.00,3.00
55,55,Super built-up  Area,2.00,44.00,2.00
56,56,Built-up  Area,0.00,192.00,4.00
57,57,Super built-up  Area,2.00,185.00,2.00
58,58,Plot  Area,1.00,150.00,6.00
59,59,Super built-up  Area,2.00,45.00,2.00
60,60,Plot  Area,2.00,240.00,3.00
61,61,Super built-up  Area,1.00,55.00,2.00
62,62,Plot  Area,3.00,650.00,4.00
63,63,Built-up  Area,2.00,44.00,2.00
64,64,Built-up  Area,0.00,140.00,8.00
65,65,Super built-up  Area,1.00,62.00,2.00
66,66,Super built-up  Area,3.00,43.00,2.00
67,67,Super built-up  Area,1.00,57.00,2.00
68,68,Plot  Area,0.00,85.00,8.00
69,69,Super built-up  Area,1.00,36.68,2.00
70,70,Plot  Area,2.00,100.00,3.00
71,71,Super built-up  Area,1.00,80.58,2.00
72,72,Super built-up  Area,1.00,101.00,3.00
73,73,Super built-up  Area,1.00,70.00,2.00
74,74,Super built-up  Area,2.00,140.00,3.00
75,75,Super built-up  Area,1.00,48.23,2.00
76,76,Super built-up  Area,3.00,40.00,2.00
77,77,Built-up  Area,3.00,205.00,3.00
78,78,Built-up  Area,0.00,22.00,2.00
79,79,Built-up  Area,3.00,250.00,6.00
80,80,Super built-up  Area,2.00,105.00,3.00
81,81,Built-up  Area,0.00,224.50,4.00
82,82,Super built-up  Area,2.00,78.00,2.00
83,83,Super built-up  Area,2.00,60.80,3.00
84,84,Super built-up  Area,2.00,102.00,3.00
85,85,Built-up  Area,2.00,210.00,6.00
86,86,Super built-up  Area,2.00,88.00,3.00
87,87,Super built-up  Area,2.00,37.00,2.00
88,88,Super built-up  Area,2.00,58.06,2.00
89,89,Plot  Area,3.00,160.00,6.00
90,90,Built-up  Area,2.00,70.00,2.00
91,91,Super built-up  Area,1.00,28.88,2.00
92,92,Super built-up  Area,2.00,70.00,3.00
93,93,Plot  Area,2.00,155.00,4.00
94,94,Super built-up  Area,3.00,80.00,2.00
95,95,Super built-up  Area,2.00,90.00,3.00
96,96,Plot  Area,1.00,245.00,4.00
97,97,Super built-up  Area,1.00,48.00,3.00
98,98,Built-up  Area,1.00,65.00,2.00
99,99,Built-up  Area,1.00,90.00,3.00
100,100,Super built-up  Area,3.00,138.00,3.00
101,101,Built-up  Area,1.00,17.00,2.00
102,102,Plot  Area,1.00,150.00,3.00
103,103,Super built-up  Area,2.00,43.00,2.00
104,104,Super built-up  Area,2.00,50.00,2.00
105,105,Super built-up  Area,2.00,49.90,2.00
106,106,Built-up  Area,1.00,98.00,3.00
107,107,Built-up  Area,2.00,229.00,3.00
108,108,Built-up  Area,2.00,55.68,2.00
109,109,Super built-up  Area,2.00,66.78,2.00
110,110,Super built-up  Area,3.00,120.00,3.00
111,111,Super built-up  Area,2.00,75.00,3.00
112,112,Super built-up  Area,1.00,51.91,2.00
113,113,Super built-up  Area,1.00,45.90,3.00
114,114,Built-up  Area,1.00,225.00,4.00
115,115,Built-up  Area,2.00,140.00,3.00
116,116,Super built-up  Area,3.00,64.00,3.00
117,117,Super built-up  Area,1.00,74.75,3.00
118,118,Super built-up  Area,2.00,75.00,2.00
119,119,Plot  Area,3.00,23.00,2.00
120,120,Super built-up  Area,2.00,120.00,3.00
121,121,Super built-up  Area,1.00,200.00,3.00
122,122,Super built-up  Area,0.00,477.00,4.00
123,123,Built-up  Area,2.00,150.00,4.00
124,124,Super built-up  Area,2.00,68.52,3.00
125,125,Built-up  Area,1.00,34.00,2.00
126,126,Built-up  Area,2.00,65.00,3.00
127,127,Super built-up  Area,1.00,54.00,2.00
128,128,Super built-up  Area,1.00,78.00,2.00
129,129,Plot  Area,0.00,115.00,7.00
130,130,Built-up  Area,3.00,110.00,3.00
131,131,Plot  Area,1.00,75.00,3.00
132,132,Super built-up  Area,1.00,16.50,2.00
133,133,Plot  Area,0.00,210.00,4.00
134,134,Super built-up  Area,2.00,83.00,3.00
135,135,Built-up  Area,1.00,57.00,2.00
136,136,Super built-up  Area,1.00,65.00,2.00
137,137,Super built-up  Area,0.00,54.01,2.00
138,138,Super built-up  Area,1.00,50.40,3.00
139,139,Super built-up  Area,2.00,85.05,3.00
140,140,Built-up  Area,0.00,250.00,8.00
141,141,Super built-up  Area,1.00,213.00,5.00
142,142,Super built-up  Area,1.00,105.00,3.00
143,143,Super built-up  Area,1.00,60.00,2.00
144,144,Super built-up  Area,1.00,43.76,2.00
145,145,Super built-up  Area,2.00,225.00,7.00
146,146,Super built-up  Area,0.00,110.00,3.00
147,147,Super built-up  Area,1.00,35.00,2.00
148,148,Super built-up  Area,3.00,46.74,3.00
149,149,Plot  Area,0.00,185.00,6.00
150,150,Super built-up  Area,2.00,91.31,3.00
151,151,Super built-up  Area,1.00,58.00,2.00
152,152,Super built-up  Area,3.00,44.00,3.00
153,153,Super built-up  Area,0.00,235.00,3.00
154,154,Super built-up  Area,2.00,50.00,2.00
155,155,Super built-up  Area,1.00,30.60,2.00
156,156,Super built-up  Area,2.00,50.00,2.00
157,157,Super built-up  Area,3.00,135.00,3.00
158,158,Super built-up  Area,1.00,145.00,3.00
159,159,Plot  Area,0.00,760.00,4.00
160,160,Built-up  Area,3.00,48.00,3.00
161,161,Super built-up  Area,1.00,32.00,2.00
162,162,Super built-up  Area,1.00,150.00,3.00
163,163,Built-up  Area,2.00,420.00,4.00
164,164,Super built-up  Area,1.00,175.00,3.00
165,165,Super built-up  Area,0.00,43.49,2.00
166,166,Super built-up  Area,2.00,75.00,3.00
167,167,Super built-up  Area,1.00,64.50,3.00
168,168,Built-up  Area,1.00,60.00,2.00
169,169,Built-up  Area,2.00,70.00,3.00
170,170,Super built-up  Area,0.00,99.00,6.00
171,171,Super built-up  Area,1.00,11.00,1.00
172,172,Super built-up  Area,1.00,64.50,2.00
173,173,Super built-up  Area,1.00,56.00,3.00
174,174,Super built-up  Area,3.00,65.00,3.00
175,175,Plot  Area,2.00,100.00,3.00
176,176,Plot  Area,2.00,85.00,5.00
177,177,Plot  Area,0.00,14.00,1.00
178,178,Super built-up  Area,2.00,67.00,1.00
179,179,Built-up  Area,1.00,36.00,2.00
180,180,Super built-up  Area,3.00,51.00,2.00
181,181,Super built-up  Area,2.00,155.00,3.00
182,182,Super built-up  Area,2.00,145.00,3.00
183,183,Super built-up  Area,2.00,110.00,3.00
184,184,Super built-up  Area,1.00,52.00,2.00
185,185,Plot  Area,2.00,300.00,3.00
186,186,Super built-up  Area,2.00,55.70,2.00
187,187,Built-up  Area,1.00,46.00,2.00
188,188,Super built-up  Area,0.00,56.80,2.00
189,189,Super built-up  Area,2.00,52.00,2.00
190,190,Built-up  Area,1.00,110.00,4.00
191,191,Super built-up  Area,3.00,80.00,3.00
192,192,Plot  Area,0.00,325.00,4.00
193,193,Plot  Area,1.00,250.00,7.00
194,194,Super built-up  Area,2.00,60.00,2.00
195,195,Super built-up  Area,2.00,98.00,2.00
196,196,Super built-up  Area,2.00,58.00,2.00
197,197,Built-up  Area,1.00,115.00,3.00
198,198,Super built-up  Area,2.00,56.00,3.00
199,199,Super built-up  Area,1.00,48.00,2.00
200,200,Super built-up  Area,2.00,82.00,2.00
201,201,Super built-up  Area,1.00,70.00,3.00
202,202,Built-up  Area,2.00,47.60,2.00
203,203,Super built-up  Area,1.00,53.00,2.00
204,204,Built-up  Area,2.00,54.00,3.00
205,205,Super built-up  Area,2.00,48.70,3.00
206,206,Super built-up  Area,2.00,88.00,3.00
207,207,Super built-up  Area,1.00,87.00,2.00
208,208,Built-up  Area,2.00,43.50,2.00
209,209,Plot  Area,0.00,190.00,4.00
210,210,Super built-up  Area,1.00,428.00,4.00
211,211,Super built-up  Area,2.00,65.00,3.00
212,212,Built-up  Area,2.00,89.00,3.00
213,213,Super built-up  Area,2.00,78.29,3.00
214,214,Super built-up  Area,3.00,100.00,3.00
215,215,Super built-up  Area,1.00,65.00,2.00
216,216,Built-up  Area,0.00,141.00,6.00
217,217,Super built-up  Area,1.00,27.00,1.00
218,218,Super built-up  Area,3.00,78.00,3.00
219,219,Super built-up  Area,2.00,98.29,3.00
220,220,Super built-up  Area,2.00,125.00,3.00
221,221,Super built-up  Area,3.00,90.00,3.00
222,222,Built-up  Area,1.00,75.50,4.00
223,223,Super built-up  Area,1.00,44.28,2.00
224,224,Super built-up  Area,0.00,74.82,3.00
225,225,Super built-up  Area,2.00,260.00,3.00
226,226,Built-up  Area,2.00,72.00,2.00
227,227,Plot  Area,1.00,115.00,2.00
228,228,Super built-up  Area,2.00,119.00,3.00
229,229,Super built-up  Area,1.00,22.14,2.00
230,230,Super built-up  Area,2.00,56.40,2.00
231,231,Super built-up  Area,2.00,60.00,2.00
232,232,Super built-up  Area,2.00,55.00,2.00
233,233,Built-up  Area,2.00,42.00,2.00
234,234,Super built-up  Area,2.00,110.00,2.00
235,235,Super built-up  Area,1.00,65.00,3.00
236,236,Super built-up  Area,2.00,39.00,2.00
237,237,Super built-up  Area,1.00,129.00,3.00
238,238,Built-up  Area,2.00,150.00,5.00
239,239,Built-up  Area,2.00,60.00,2.00
240,240,Super built-up  Area,1.00,16.45,1.00
241,241,Plot  Area,2.00,180.00,8.00
242,242,Super built-up  Area,1.00,16.45,1.00
243,243,Super built-up  Area,3.00,84.00,3.00
244,244,Super built-up  Area,3.00,72.50,2.00
245,245,Plot  Area,1.00,90.00,3.00
246,246,Super built-up  Area,1.00,40.00,2.00
247,247,Super built-up  Area,1.00,70.00,3.00
248,248,Plot  Area,2.00,280.00,3.00
249,249,Super built-up  Area,2.00,185.00,3.00
250,250,Super built-up  Area,1.00,20.00,2.00
251,251,Built-up  Area,2.00,55.00,2.00
252,252,Super built-up  Area,2.00,93.00,2.00
253,253,Super built-up  Area,2.00,22.50,2.00
254,254,Built-up  Area,1.00,69.00,2.00
255,255,Plot  Area,0.00,95.00,4.00
256,256,Built-up  Area,2.00,36.00,2.00
257,257,Super built-up  Area,1.00,63.00,2.00
258,258,Plot  Area,0.00,170.00,5.00
259,259,Super built-up  Area,2.00,170.00,3.00
260,260,Plot  Area,2.00,300.00,4.00
261,261,Super built-up  Area,2.00,75.50,3.00
262,262,Super built-up  Area,2.00,43.90,2.00
263,263,Super built-up  Area,1.00,59.90,2.00
264,264,Super built-up  Area,2.00,49.20,2.00
265,265,Built-up  Area,0.00,52.80,4.00
266,266,Super built-up  Area,2.00,46.00,3.00
267,267,Super built-up  Area,2.00,61.58,3.00
268,268,Super built-up  Area,1.00,26.00,2.00
269,269,Super built-up  Area,2.00,120.00,3.00
270,270,Super built-up  Area,1.00,32.00,2.00
271,271,Super built-up  Area,2.00,131.00,3.00
272,272,Built-up  Area,1.00,45.00,2.00
273,273,Plot  Area,1.00,110.00,2.00
274,274,Super built-up  Area,3.00,73.95,3.00
275,275,Super built-up  Area,2.00,132.00,3.00
276,276,Super built-up  Area,1.00,80.90,2.00
277,277,Plot  Area,2.00,250.00,4.00
278,278,Super built-up  Area,3.00,91.45,3.00
279,279,Super built-up  Area,3.00,55.00,3.00
280,280,Built-up  Area,1.00,34.50,2.00
281,281,Built-up  Area,1.00,100.00,3.00
282,282,Plot  Area,0.00,250.00,6.00
283,283,Built-up  Area,1.00,78.80,3.00
284,284,Super built-up  Area,1.00,46.00,3.00
285,285,Super built-up  Area,2.00,94.00,3.00
286,286,Built-up  Area,1.00,40.00,2.00
287,287,Super built-up  Area,2.00,56.00,3.00
288,288,Super built-up  Area,2.00,50.00,2.00
289,289,Super built-up  Area,2.00,25.88,2.00
290,290,Super built-up  Area,1.00,51.25,2.00
291,291,Super built-up  Area,2.00,44.00,2.00
292,292,Super built-up  Area,2.00,45.00,2.00
293,293,Super built-up  Area,1.00,98.20,2.00
294,294,Super built-up  Area,1.00,50.00,2.00
295,295,Super built-up  Area,3.00,75.00,2.00
296,296,Plot  Area,1.00,98.00,3.00
297,297,Carpet  Area,2.00,47.00,2.00
298,298,Super built-up  Area,0.00,120.00,4.00
299,299,Plot  Area,1.00,140.00,3.00
300,300,Super built-up  Area,2.00,104.00,4.00
301,301,Super built-up  Area,1.00,29.50,2.00
302,302,Super built-up  Area,1.00,70.00,3.00
303,303,Super built-up  Area,0.00,100.00,3.00
304,304,Super built-up  Area,2.00,105.00,3.00
305,305,Super built-up  Area,3.00,45.00,2.00
306,306,Super built-up  Area,1.00,26.00,1.00
307,307,Super built-up  Area,2.00,95.00,3.00
308,308,Super built-up  Area,3.00,65.00,4.00
309,309,Super built-up  Area,3.00,150.00,3.00
310,310,Super built-up  Area,3.00,100.00,2.00
311,311,Super built-up  Area,3.00,115.00,3.00
312,312,Super built-up  Area,1.00,55.55,2.00
313,313,Super built-up  Area,3.00,67.00,3.00
314,314,Super built-up  Area,2.00,46.50,2.00
315,315,Plot  Area,2.00,180.00,5.00
316,316,Super built-up  Area,2.00,27.00,2.00
317,317,Super built-up  Area,2.00,75.00,2.00
318,318,Built-up  Area,2.00,52.00,2.00
319,319,Super built-up  Area,1.00,51.00,2.00
320,320,Super built-up  Area,1.00,83.09,2.00
321,321,Super built-up  Area,1.00,65.00,2.00
322,322,Plot  Area,2.00,128.00,2.00
323,323,Plot  Area,3.00,165.00,4.00
324,324,Super built-up  Area,2.00,415.00,3.00
325,325,Plot  Area,1.00,400.00,4.00
326,326,Super built-up  Area,2.00,56.00,3.00
327,327,Super built-up  Area,2.00,55.00,2.00
328,328,Super built-up  Area,2.00,52.00,2.00
329,329,Super built-up  Area,1.00,55.00,3.00
330,330,Built-up  Area,2.00,95.00,3.00
331,331,Super built-up  Area,1.00,67.00,2.00
332,332,Plot  Area,2.00,198.00,4.00
333,333,Super built-up  Area,2.00,74.00,2.00
334,334,Super built-up  Area,2.00,215.00,3.00
335,335,Super built-up  Area,1.00,58.00,2.00
336,336,Built-up  Area,2.00,45.00,2.00
337,337,Super built-up  Area,2.00,230.00,4.00
338,338,Super built-up  Area,3.00,64.00,3.00
339,339,Plot  Area,0.00,79.00,2.00
340,340,Carpet  Area,3.00,48.00,2.00
341,341,Super built-up  Area,2.00,40.00,2.00
342,342,Super built-up  Area,2.00,76.00,2.00
343,343,Built-up  Area,1.00,150.00,3.00
344,344,Super built-up  Area,0.00,21.53,1.00
345,345,Super built-up  Area,2.00,65.00,2.00
346,346,Plot  Area,0.00,140.00,3.00
347,347,Super built-up  Area,1.00,49.36,3.00
348,348,Super built-up  Area,0.00,150.00,3.00
349,349,Plot  Area,2.00,74.00,3.00
350,350,Built-up  Area,1.00,43.25,2.00
351,351,Super built-up  Area,1.00,77.00,2.00
352,352,Carpet  Area,2.00,75.00,3.00
353,353,Super built-up  Area,3.00,57.00,2.00
354,354,Super built-up  Area,1.00,28.35,1.00
355,355,Plot  Area,2.00,365.00,3.00
356,356,Super built-up  Area,1.00,125.00,3.00
357,357,Super built-up  Area,2.00,50.00,2.00
358,358,Super built-up  Area,3.00,335.00,4.00
359,359,Super built-up  Area,1.00,50.00,2.00
360,360,Super built-up  Area,2.00,89.04,2.00
361,361,Super built-up  Area,0.00,90.00,3.00
362,362,Plot  Area,2.00,230.00,4.00
363,363,Built-up  Area,1.00,18.50,1.00
364,364,Super built-up  Area,1.00,52.00,2.00
365,365,Super built-up  Area,0.00,11.66,1.00
366,366,Built-up  Area,3.00,66.00,2.00
367,367,Super built-up  Area,2.00,60.00,2.00
368,368,Built-up  Area,2.00,39.00,2.00
369,369,Super built-up  Area,1.00,60.00,2.00
370,370,Super built-up  Area,2.00,212.00,4.00
371,371,Built-up  Area,2.00,55.00,2.00
372,372,Super built-up  Area,1.00,65.00,2.00
373,373,Super built-up  Area,2.00,275.00,3.00
374,374,Super built-up  Area,2.00,46.80,2.00
375,375,Super built-up  Area,1.00,108.00,3.00
376,376,Super built-up  Area,2.00,110.00,3.00
377,377,Super built-up  Area,0.00,29.90,1.00
378,378,Super built-up  Area,2.00,95.00,3.00
379,379,Super built-up  Area,0.00,77.00,3.00
380,380,Super built-up  Area,2.00,115.00,3.00
381,381,Built-up  Area,0.00,90.00,2.00
382,382,Plot  Area,1.00,36.00,2.00
383,383,Super built-up  Area,2.00,44.00,2.00
384,384,Built-up  Area,1.00,25.00,2.00
385,385,Super built-up  Area,1.00,40.00,2.00
386,386,Built-up  Area,2.00,79.00,3.00
387,387,Built-up  Area,0.00,134.00,3.00
388,388,Super built-up  Area,2.00,121.00,3.00
389,389,Built-up  Area,1.00,94.00,2.00
390,390,Super built-up  Area,2.00,45.79,2.00
391,391,Super built-up  Area,1.00,33.00,2.00
392,392,Super built-up  Area,3.00,108.00,3.00
393,393,Super built-up  Area,2.00,53.00,2.00
394,394,Built-up  Area,1.00,58.00,2.00
395,395,Built-up  Area,1.00,32.00,2.00
396,396,Built-up  Area,2.00,55.00,2.00
397,397,Super built-up  Area,0.00,120.00,6.00
398,398,Built-up  Area,1.00,120.00,2.00
399,399,Super built-up  Area,1.00,45.00,3.00
400,400,Super built-up  Area,2.00,161.00,3.00
401,401,Super built-up  Area,1.00,230.00,4.00
402,402,Plot  Area,1.00,65.00,2.00
403,403,Super built-up  Area,1.00,175.00,4.00
404,404,Super built-up  Area,1.00,82.00,2.00
405,405,Plot  Area,0.00,165.00,2.00
406,406,Plot  Area,0.00,125.00,4.00
407,407,Super built-up  Area,2.00,410.00,3.00
408,408,Super built-up  Area,3.00,2200.00,7.00
409,409,Plot  Area,1.00,62.00,2.00
410,410,Super built-up  Area,0.00,18.50,1.00
411,411,Super built-up  Area,0.00,38.00,2.00
412,412,Super built-up  Area,1.00,38.00,2.00
413,413,Plot  Area,3.00,250.00,6.00
414,414,Super built-up  Area,3.00,64.50,3.00
415,415,Built-up  Area,2.00,88.00,3.00
